id,lat,long,name,number
1,38.8561,-77.0512,20th & Bell St,31000
2,38.85725,-77.05332,18th & Eads St.,31001
3,38.8564,-77.0492,20th & Crystal Dr,31002
4,38.86017,-77.049593,15th & Crystal Dr,31003
5,38.857866,-77.05949,Aurora Hills Community Ctr/18th & Hayes St,31004
6,38.862303,-77.059936,Pentagon City Metro / 12th & S Hayes St,31005
7,38.8637,-77.0633,S Joyce & Army Navy Dr,31006
8,38.8573,-77.0511,Crystal City Metro / 18th & Bell St,31007
9,38.8629,-77.0528,12th & Army Navy Dr,31008
10,38.848441,-77.051516,27th & Crystal Dr,31009
11,38.8426,-77.0502,S Glebe & Potomac Ave,31010
12,38.8533,-77.0498,23rd & Crystal Dr,31011
13,38.850688,-77.05152,26th & S Clark St,31012
14,38.9003,-77.0429,19th St & Pennsylvania Ave NW,31100
15,38.9176,-77.0321,14th & V St NW,31101
16,38.929464,-77.027822,11th & Kenyon St NW,31102
17,38.926088,-77.036536,16th & Harvard St NW,31103
18,38.922925,-77.042581,Adams Mill & Columbia Rd NW,31104
19,38.9268,-77.0322,14th & Harvard St NW,31105
20,38.923203,-77.047637,Calvert & Biltmore St NW,31106
21,38.9319,-77.0388,Lamont & Mt Pleasant NW,31107
22,38.8767,-77.0178,4th & M St SW,31108
23,38.90985,-77.034438,15th & P St NW,31201
24,38.912682,-77.031681,14th & R St NW,31202
25,38.9086,-77.0323,14th & Rhode Island Ave NW,31203
26,38.8963,-77.045,20th & E St NW,31204
27,38.9008,-77.047,21st & I St NW,31205
28,38.936043,-77.024649,Georgia & New Hampshire Ave NW,31400
29,38.9375,-77.0328,14th St & Spring Rd NW,31401
30,38.9346,-76.9955,John McCormack Dr & Michigan Ave NE,31502
31,38.90304,-77.019027,5th & K St NW,31600
32,38.8896,-76.9769,19th & East Capitol St SE,31601
33,38.9308,-77.0315,Park Rd & Holmead Pl NW,31602
34,38.8601,-76.9672,Good Hope & Naylor Rd SE,31700
